epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,297.54,1.1047,1.31117,1.34259,0.88797,0.62398,0.7765,0.55189,1.14692,1.03216,1.37333,7.73336e-05,7.73336e-05,7.73336e-05
70,301.511,1.04855,1.2181,1.32373,0.78323,0.67732,0.78078,0.55536,1.13436,1.018,1.37255,7.70002e-05,7.70002e-05,7.70002e-05
71,305.532,1.11298,1.30799,1.37393,0.86833,0.63741,0.78599,0.53629,1.25034,1.02618,1.42934,7.66669e-05,7.66669e-05,7.66669e-05
72,309.603,1.07431,1.23981,1.33453,0.85194,0.64641,0.78112,0.53999,1.20684,0.98995,1.37651,7.63336e-05,7.63336e-05,7.63336e-05
73,313.602,1.05257,1.23884,1.33845,0.77409,0.69023,0.79787,0.55941,1.15474,0.98518,1.3633,7.60002e-05,7.60002e-05,7.60002e-05
74,317.572,1.05798,1.20245,1.32419,0.776,0.6795,0.77702,0.53865,1.1725,0.99827,1.41057,7.56669e-05,7.56669e-05,7.56669e-05
75,321.532,1.068,1.21512,1.33442,0.80858,0.67361,0.7817,0.52685,1.31299,1.02094,1.48704,7.53336e-05,7.53336e-05,7.53336e-05
76,325.648,1.09917,1.24865,1.34103,0.74616,0.68367,0.77263,0.5391,1.21836,1.03201,1.43172,7.50003e-05,7.50003e-05,7.50003e-05
77,329.713,1.07716,1.22544,1.33872,0.78312,0.67814,0.7985,0.50572,1.40152,1.02229,1.57403,7.46669e-05,7.46669e-05,7.46669e-05
78,333.764,1.04997,1.2363,1.32305,0.80604,0.67987,0.77905,0.56228,1.11711,0.99155,1.35003,7.43336e-05,7.43336e-05,7.43336e-05
79,337.892,1.03419,1.20633,1.30921,0.83502,0.64503,0.78445,0.54988,1.12809,0.99024,1.34628,7.40003e-05,7.40003e-05,7.40003e-05
80,341.853,1.00274,1.16416,1.30041,0.7868,0.64781,0.76324,0.53529,1.20003,1.00923,1.41418,7.36669e-05,7.36669e-05,7.36669e-05
81,345.797,1.05017,1.22406,1.3194,0.79821,0.67581,0.78575,0.52486,1.26993,1.04179,1.45374,7.33336e-05,7.33336e-05,7.33336e-05
82,349.792,1.06559,1.23926,1.32292,0.85073,0.62371,0.76652,0.54331,1.13562,1.04811,1.38665,7.30003e-05,7.30003e-05,7.30003e-05
83,353.751,1.03794,1.22189,1.31132,0.7927,0.64856,0.75886,0.53049,1.16389,1.03464,1.39059,7.26669e-05,7.26669e-05,7.26669e-05
84,357.753,1.07059,1.19534,1.34435,0.8025,0.68294,0.78237,0.54663,1.17226,0.99819,1.41041,7.23336e-05,7.23336e-05,7.23336e-05
85,361.768,1.02608,1.16212,1.31918,0.80392,0.67361,0.78675,0.54838,1.12611,0.99998,1.37968,7.20003e-05,7.20003e-05,7.20003e-05
86,365.778,1.00756,1.15534,1.29287,0.7669,0.70581,0.77532,0.55104,1.14808,0.96226,1.39168,7.16669e-05,7.16669e-05,7.16669e-05
87,369.802,1.02605,1.16337,1.307,0.85488,0.64824,0.79338,0.57447,1.08744,0.92313,1.31446,7.13336e-05,7.13336e-05,7.13336e-05
88,373.867,1.03874,1.17114,1.29806,0.83472,0.66046,0.78591,0.54784,1.14122,0.97212,1.37191,7.10003e-05,7.10003e-05,7.10003e-05
89,377.848,1.04789,1.16151,1.31424,0.81658,0.65739,0.79046,0.56959,1.09164,0.9405,1.30985,7.0667e-05,7.0667e-05,7.0667e-05
